date;xmr_open;xmr_high;xmr_low;xmr_close;xmr_adj_close;xmr_volume;eth_open;eth_high;eth_low;eth_close;eth_adj_close;eth_volume;btc_open;btc_high;btc_low;btc_close;btc_adj_close;btc_volume
2022.04.11;235.967834;243.311844;216.417694;225.627640;225.627640;385669610;3209.576904;3214.461914;2962.756592;2981.052246;2981.052246;21891804831;42201.039063;42424.589844;39373.058594;39521.902344;39521.902344;33949912166
2022.04.12;225.751740;248.332397;224.939682;232.857513;232.857513;526851564;2981.420654;3077.452637;2957.872314;3030.376465;3030.376465;20235707410;39533.714844;40617.585938;39388.328125;40127.183594;40127.183594;30991500854
2022.04.13;232.794586;238.462326;227.807785;236.906097;236.906097;219447167;3029.877930;3123.575439;3006.481689;3118.344238;3118.344238;16088473629;40123.570313;41430.054688;39712.746094;41166.730469;41166.730469;27691105228
2022.04.14;236.896011;239.996964;224.362839;229.632767;229.632767;175921002;3117.821777;3139.928711;2988.435303;3019.909424;3019.909424;15821419931;41160.218750;41451.480469;39695.746094;39935.515625;39935.515625;24342001973
2022.04.15;229.636292;239.706390;228.545898;239.263428;239.263428;173474747;3020.134521;3044.287354;3001.123291;3040.916504;3040.916504;11256651536;39939.402344;40617.722656;39866.832031;40553.464844;40553.464844;21756855753
2022.04.16;239.266479;239.333023;228.478409;236.285812;236.285812;162814097;3041.123291;3074.886963;3016.421143;3062.310303;3062.310303;8766710365;40552.316406;40633.679688;40078.425781;40424.484375;40424.484375;16833150693
2022.04.17;236.283386;242.760040;235.124466;241.264542;241.264542;159132419;3061.881836;3075.775879;2989.043945;2993.403320;2993.403320;10463091281;40417.777344;40570.726563;39620.894531;39716.953125;39716.953125;19087633042
2022.04.18;241.285278;266.768188;234.524292;266.571533;266.571533;424808881;2993.483887;3062.520996;2893.912842;3057.606689;3057.606689;18629381299;39721.203125;40986.320313;38696.191406;40826.214844;40826.214844;33705182072
2022.04.19;266.489563;267.935242;250.437561;254.107819;254.107819;310742790;3057.570313;3125.084229;3035.535156;3104.106445;3104.106445;14156035096;40828.175781;41672.960938;40618.632813;41502.750000;41502.750000;25303206547
2022.04.20;254.103683;270.039581;251.964478;266.563202;266.563202;359823531;3103.935059;3157.885742;3045.288330;3077.745850;3077.745850;15547362265;41501.746094;42126.300781;40961.097656;41374.378906;41374.378906;27819532341
2022.04.21;266.571533;288.820953;266.092926;279.393127;279.393127;515523707;3077.829346;3173.451416;2962.410400;2987.480713;2987.480713;20783591093;41371.515625;42893.582031;40063.828125;40527.363281;40527.363281;35372786395
2022.04.22;279.246155;287.321411;261.858002;268.139099;268.139099;343046692;2986.938721;3024.854492;2942.358643;2964.835693;2964.835693;16782795477;40525.863281;40777.757813;39315.417969;39740.320313;39740.320313;28011716745
2022.04.23;268.184021;278.794342;262.854279;267.001343;267.001343;230336098;2964.802246;2975.322754;2926.740234;2938.114014;2938.114014;9116955609;39738.722656;39935.859375;39352.203125;39486.730469;39486.730469;16138021249
2022.04.24;266.951843;268.786407;249.092209;252.906158;252.906158;227578795;2937.347168;2961.882080;2922.128662;2922.732666;2922.732666;9696829579;39478.375000;39845.925781;39233.539063;39469.292969;39469.292969;17964398167
2022.04.25;252.899887;259.406738;237.937714;254.402496;254.402496;283402341;2922.990234;3018.415527;2804.507080;3009.393555;3009.393555;22332690614;39472.605469;40491.753906;38338.378906;40458.308594;40458.308594;35445730570
2022.04.26;254.346695;263.735168;228.457977;229.230911;229.230911;275295869;3008.946289;3026.415039;2786.253174;2808.298340;2808.298340;19052045399;40448.421875;40713.890625;37884.984375;38117.460938;38117.460938;34569088416
