date;open;high;low;close;adj_close;volume;ticker;type
2018-04-19;228.406998;239.014008;225.983994;238.606003;238.606003;89253400.0;XMR;real
2018-04-20;239.014008;271.981995;238.507996;271.981995;271.981995;128551000.0;XMR;real
2018-04-21;271.40799;271.40799;240.044998;258.178986;258.178986;89939200.0;XMR;real
2018-04-22;257.322998;283.993011;250.238007;271.302002;271.302002;142363008.0;XMR;real
2018-04-23;270.808014;287.113007;270.808014;283.299988;283.299988;110600000.0;XMR;real
2018-04-24;282.183014;298.075989;280.243011;296.036011;296.036011;141852000.0;XMR;real
2018-04-25;293.556;293.556;249.147995;257.140991;257.140991;157435008.0;XMR;real
2018-04-26;258.085999;277.252991;250.210007;268.270996;268.270996;153394000.0;XMR;real
2018-04-27;267.285004;268.630005;251.876007;251.876007;251.876007;93178896.0;XMR;real
2018-04-28;251.772003;265.506989;251.546997;261.505005;261.505005;84646704.0;XMR;real
2018-04-29;260.911011;262.908997;244.054993;256.871002;256.871002;92297200.0;XMR;real
2018-04-30;256.346008;259.071991;239.082993;242.455994;242.455994;103574000.0;XMR;real
2018-05-01;242.449005;242.449005;229.563004;240.259995;240.259995;71420800.0;XMR;real
2018-05-02;239.936996;252.716003;238.843994;249.664001;249.664001;83039296.0;XMR;real
2018-05-03;249.335999;257.618988;242.953995;245.979004;245.979004;115162000.0;XMR;real
2018-05-04;246.682007;248.399002;238.897995;241.526993;241.526993;77875600.0;XMR;real
2018-05-05;241.231003;245.481003;239.723999;240.779007;240.779007;73154304.0;XMR;real
2018-05-06;240.884995;242.438995;232.604996;235.490997;235.490997;50393500.0;XMR;real
2018-05-07;235.742004;235.843002;222.751999;233.070999;233.070999;44546500.0;XMR;real
2018-05-08;233.216003;234.570007;220.225998;223.354004;223.354004;33703600.0;XMR;real
2018-05-09;223.822998;232.477997;216.966995;227.518997;227.518997;41903700.0;XMR;real
2018-05-10;227.214005;233.270996;218.212006;218.222;218.222;36197200.0;XMR;real
2018-05-11;218.477997;218.477997;197.653;197.740005;197.740005;48447300.0;XMR;real
2018-05-12;197.572006;205.725006;192.059998;201.964005;201.964005;32938200.0;XMR;real
2018-05-13;202.050995;213.781998;202.050995;209.576004;209.576004;32021800.0;XMR;real
2018-05-14;210.190002;219.121002;197.330002;215.042999;215.042999;56526000.0;XMR;real
2018-05-15;214.686005;218.826004;203.041;205.169998;205.169998;56849200.0;XMR;real
2018-05-16;204.871002;205.106003;193.210999;199.209;199.209;46385200.0;XMR;real
2018-05-17;199.341995;204.686005;192.923996;192.992996;192.992996;44934200.0;XMR;real
2018-05-18;193.022003;211.533005;187.244995;204.048996;204.048996;58532500.0;XMR;real
2018-05-19;203.619003;204.205994;197.197006;197.574005;197.574005;31524400.0;XMR;real
2018-05-20;197.791;205.311996;196.598007;203.445999;203.445999;34040600.0;XMR;real
2018-05-21;203.830002;203.832993;194.914993;198.738998;198.738998;34791200.0;XMR;real
2018-05-22;198.641998;198.951996;176.272995;176.272995;176.272995;51057500.0;XMR;real
2018-05-23;175.804001;179.526001;166.328003;171.541;171.541;49136900.0;XMR;real
2018-05-24;171.210007;177.509003;160.852005;171.485001;171.485001;44489500.0;XMR;real
2018-05-25;171.656006;173.658997;162.917999;164.716995;164.716995;26129900.0;XMR;real
2018-05-26;164.837997;168.595001;162.987;164.546997;164.546997;17384600.0;XMR;real
2018-05-27;164.470001;170.166;161.173996;166.082001;166.082001;32033800.0;XMR;real
